Year,Age.Group,Deaths,Population,Crude.Rate
1999,15-19,367,20084602,1.8
1999,20-24,984,18591429,5.3
1999,25-29,1452,19575057,7.4
1999,30-34,2127,20603349,10.3
1999,35-39,3242,22882549,14.2
1999,40-44,3853,22194128,17.4
1999,45-49,3042,19654207,15.5
1999,50-54,1582,16923612,9.3
1999,55-59,760,13084821,5.8
1999,60-64,401,10693205,3.8
1999,65-69,301,9541498,3.2
1999,70-74,255,8877411,2.9
1999,75-79,264,7342606,3.6
1999,80-84,203,4882308,4.2
2000,15-19,452,20219890,2.2
2000,20-24,1115,18964001,5.9
2000,25-29,1450,19381336,7.5
2000,30-34,2077,20510388,10.1
2000,35-39,3270,22706664,14.4
2000,40-44,3936,22441863,17.5
2000,45-49,3171,20092404,15.8
2000,50-54,1815,17585548,10.3
2000,55-59,794,13469237,5.9
2000,60-64,393,10805447,3.6
2000,65-69,244,9533545,2.6
2000,70-74,242,8857441,2.7
2000,75-79,235,7415813,3.2
2000,80-84,195,4945367,3.9
2001,15-19,539,20456284,2.6
2001,20-24,1274,19757286,6.4
2001,25-29,1552,18819347,8.2
2001,30-34,2187,20652175,10.6
2001,35-39,3448,22235918,15.5
2001,40-44,4221,22815834,18.5
2001,45-49,3660,20698983,17.7
2001,50-54,2136,18687285,11.4
2001,55-59,901,13968975,6.5
2001,60-64,460,11136320,4.1
2001,65-69,296,9562233,3.1
2001,70-74,257,8821946,2.9
2001,75-79,254,7455413,3.4
2001,80-84,185,5138205,3.6
2002,15-19,625,20610370,3
2002,20-24,1590,20243765,7.9
2002,25-29,1850,18691340,9.9
2002,30-34,2599,20658306,12.6
2002,35-39,3837,21751218,17.6
2002,40-44,5021,22889431,21.9
2002,45-49,4451,21252288,20.9
2002,50-54,2731,18739906,14.6
2002,55-59,1235,15143067,8.2
2002,60-64,593,11560265,5.1
2002,65-69,365,9638481,3.8
2002,70-74,288,8750054,3.3
2002,75-79,264,7470461,3.5
2002,80-84,220,5294403,4.2
2003,15-19,669,20797166,3.2
2003,20-24,1950,20591688,9.5
2003,25-29,2086,18771585,11.1
2003,30-34,2759,20472210,13.5
2003,35-39,3918,21264159,18.4
2003,40-44,5240,22890047,22.9
2003,45-49,4946,21722676,22.8
2003,50-54,3228,19097278,16.9
2003,55-59,1546,15814557,9.8
2003,60-64,693,12194388,5.7
2003,65-69,441,9830796,4.5
2003,70-74,314,8670119,3.6
2003,75-79,288,7497842,3.8
2003,80-84,249,5398596,4.6
2004,15-19,814,21102552,3.9
2004,20-24,2099,20845560,10.1
2004,25-29,2378,19107055,12.4
2004,30-34,2683,20159501,13.3
2004,35-39,3870,20874649,18.5
2004,40-44,5358,22925626,23.4
2004,45-49,5405,22065262,24.5
2004,50-54,3616,19564668,18.5
2004,55-59,1819,16607176,11
2004,60-64,832,12698128,6.6
2004,65-69,438,10073429,4.3
2004,70-74,347,8594104,4
2004,75-79,349,7461399,4.7
2004,80-84,270,5528504,4.9
2005,15-19,787,21486214,3.7
2005,20-24,2308,20959955,11
2005,25-29,2700,19534710,13.8
2005,30-34,3030,19723937,15.4
2005,35-39,3846,20798653,18.5
2005,40-44,5487,22706885,24.2
2005,45-49,5797,22417171,25.9
2005,50-54,4244,20078733,21.1
2005,55-59,2228,17503220,12.7
2005,60-64,1012,13138277,7.7
2005,65-69,511,10278627,5
2005,70-74,376,8603070,4.4
2005,75-79,364,7463609,4.9
2005,80-84,342,5611193,6.1
2006,15-19,880,21807709,4
2006,20-24,2772,21036135,13.2
2006,25-29,3408,20110011,16.9
2006,30-34,3379,19285168,17.5
2006,35-39,4279,20941233,20.4
2006,40-44,5887,22302568,26.4
2006,45-49,6464,22715286,28.5
2006,50-54,5081,20570873,24.7
2006,55-59,2779,18396860,15.1
2006,60-64,1089,13533253,8
2006,65-69,593,10553201,5.6
2006,70-74,415,8649826,4.8
2006,75-79,404,7447034,5.4
2006,80-84,384,5648117,6.8
2007,15-19,959,22067816,4.3
2007,20-24,2716,21077999,12.9
2007,25-29,3546,20542698,17.3
2007,30-34,3404,19170765,17.8
2007,35-39,4219,20963891,20.1
2007,40-44,5452,21832339,25
2007,45-49,6396,22799761,28.1
2007,50-54,5396,21140178,25.5
2007,55-59,3101,18454772,16.8
2007,60-64,1352,14673662,9.2
2007,65-69,568,10970235,5.2
2007,70-74,337,8728492,3.9
2007,75-79,275,7400363,3.7
2007,80-84,230,5687076,4
2008,15-19,955,22210880,4.3
2008,20-24,2637,21180612,12.5
2008,25-29,3571,20902668,17.1
2008,30-34,3431,19304805,17.8
2008,35-39,4191,20817463,20.1
2008,40-44,5186,21375023,24.3
2008,45-49,6405,22820973,28.1
2008,50-54,5516,21639474,25.5
2008,55-59,3361,18814568,17.9
2008,60-64,1413,15342495,9.2
2008,65-69,707,11594347,6.1
2008,70-74,361,8911332,4.1
2008,75-79,283,7345743,3.9
2008,80-84,235,5730359,4.1
2009,15-19,812,22192810,3.7
2009,20-24,2677,21384122,12.5
2009,25-29,3627,21078228,17.2
2009,30-34,3630,19645114,18.5
2009,35-39,3957,20507796,19.3
2009,40-44,4981,20980015,23.7
2009,45-49,6459,22862245,28.3
2009,50-54,5610,22004843,25.5
2009,55-59,3632,19280603,18.8
2009,60-64,1643,16124997,10.2
2009,65-69,742,12092377,6.1
2009,70-74,395,9140722,4.3
2009,75-79,323,7295064,4.4
2009,80-84,262,5727711,4.6
2010,15-19,845,22040343,3.8
2010,20-24,2822,21585999,13.1
2010,25-29,3909,21101849,18.5
2010,30-34,3955,19962099,19.8
2010,35-39,4138,20179642,20.5
2010,40-44,4785,20890964,22.9
2010,45-49,6168,22708591,27.2
2010,50-54,5767,22298125,25.9
2010,55-59,3947,19664805,20.1
2010,60-64,1964,16817924,11.7
2010,65-69,741,12435263,6
2010,70-74,396,9278166,4.3
2010,75-79,291,7317795,4
2010,80-84,229,5743327,4
2011,15-19,853,21644043,3.9
2011,20-24,3037,22153832,13.7
2011,25-29,4185,21279794,19.7
2011,30-34,4559,20510704,22.2
2011,35-39,4328,19594309,22.1
2011,40-44,5197,21033645,24.7
2011,45-49,6337,22158005,28.6
2011,50-54,6272,22560198,27.8
2011,55-59,4343,20255548,21.4
2011,60-64,2169,17806592,12.2
2011,65-69,914,12873788,7.1
2011,70-74,430,9607950,4.5
2011,75-79,264,7388687,3.6
2011,80-84,258,5786543,4.5
2012,15-19,687,21360702,3.2
2012,20-24,2968,22583203,13.1
2012,25-29,4164,21398326,19.5
2012,30-34,4699,20910995,22.5
2012,35-39,4362,19488199,22.4
2012,40-44,4979,21028221,23.7
2012,45-49,6178,21689479,28.5
2012,50-54,6358,22579259,28.2
2012,55-59,4637,20772517,22.3
2012,60-64,2273,17813685,12.8
2012,65-69,1090,13977353,7.8
2012,70-74,471,10008039,4.7
2012,75-79,300,7489583,4
2012,80-84,234,5783051,4
2013,15-19,692,21158964,3.3
2013,20-24,3104,22795438,13.6
2013,25-29,4331,21580198,20.1
2013,30-34,4986,21264389,23.4
2013,35-39,4549,19603770,23.2
2013,40-44,5201,20848920,24.9
2013,45-49,6047,21208306,28.5
2013,50-54,6649,22559226,29.5
2013,55-59,5251,21194430,24.8
2013,60-64,2843,18122001,15.7
2013,65-69,1234,14608717,8.4
2013,70-74,562,10608049,5.3
2013,75-79,336,7677881,4.4
2013,80-84,255,5768638,4.4
2014,15-19,682,21067647,3.2
2014,20-24,3246,22912174,14.2
2014,25-29,4861,21987938,22.1
2014,30-34,5601,21528566,26
2014,35-39,5204,19921650,26.1
2014,40-44,5413,20591483,26.3
2014,45-49,6135,20888042,29.4
2014,50-54,6829,22570809,30.3
2014,55-59,5648,21511449,26.3
2014,60-64,3058,18566132,16.5
2014,65-69,1373,15325266,9
2014,70-74,641,11073024,5.8
2014,75-79,347,7922324,4.4
2014,80-84,249,5760366,4.3
2015,15-19,796,21108903,3.8
2015,20-24,3605,22739313,15.9
2015,25-29,5831,22461554,26
2015,30-34,6548,21675648,30.2
2015,35-39,6202,20374585,30.4
2015,40-44,5811,20215198,28.7
2015,45-49,6587,20853844,31.6
2015,50-54,7173,22334317,32.1
2015,55-59,6155,21807942,28.2
2015,60-64,3356,19069877,17.6
2015,65-69,1603,16067468,10
2015,70-74,627,11483049,5.5
2015,75-79,353,8123833,4.3
2015,80-84,253,5799341,4.4
2016,15-19,896,21129999,4.2
2016,20-24,4663,22381028,20.8
2016,25-29,7648,22890884,33.4
2016,30-34,8410,21786359,38.6
2016,35-39,8093,20773905,39
2016,40-44,6719,19696251,34.1
2016,45-49,7552,20947623,36.1
2016,50-54,8071,21839056,37
2016,55-59,7254,21980108,33
2016,60-64,4231,19483036,21.7
2016,65-69,1880,16820083,11.2
2016,70-74,764,11810247,6.5
2016,75-79,358,8367895,4.3
2016,80-84,232,5865639,4